2009-10-03 00:45:28 Notice: Notice (8): Undefined index: id in [APP/views/dishes/admin_new.ctp, line 4]
2009-10-03 00:45:28 Notice: Notice (8): Undefined index: name in [APP/views/dishes/admin_new.ctp, line 5]
2009-10-03 00:45:28 Notice: Notice (8): Undefined index: id in [APP/views/dishes/admin_new.ctp, line 6]
2009-10-03 00:45:28 Notice: Notice (8): Undefined index: dgroups_id in [APP/views/dishes/admin_new.ctp, line 7]
2009-10-03 00:45:28 Notice: Notice (8): Undefined index: description in [APP/views/dishes/admin_new.ctp, line 8]
2009-10-03 00:47:04 Notice: Notice (8): Undefined index: id in [APP/views/dishes/admin_new.ctp, line 5]
2009-10-03 00:47:04 Notice: Notice (8): Undefined index: name in [APP/views/dishes/admin_new.ctp, line 6]
2009-10-03 00:47:04 Notice: Notice (8): Undefined index: id in [APP/views/dishes/admin_new.ctp, line 7]
2009-10-03 00:47:04 Notice: Notice (8): Undefined index: dgroups_id in [APP/views/dishes/admin_new.ctp, line 8]
2009-10-03 00:47:04 Notice: Notice (8): Undefined index: description in [APP/views/dishes/admin_new.ctp, line 9]
2009-10-03 00:48:00 Notice: Notice (8): Undefined index: id in [APP/views/dishes/admin_new.ctp, line 5]
2009-10-03 00:48:00 Notice: Notice (8): Undefined index: name in [APP/views/dishes/admin_new.ctp, line 6]
2009-10-03 00:48:00 Notice: Notice (8): Undefined index: id in [APP/views/dishes/admin_new.ctp, line 7]
2009-10-03 00:48:00 Notice: Notice (8): Undefined index: dgroups_id in [APP/views/dishes/admin_new.ctp, line 8]
2009-10-03 00:48:00 Notice: Notice (8): Undefined index: description in [APP/views/dishes/admin_new.ctp, line 9]
2009-10-03 00:48:03 Notice: Notice (8): Undefined index: id in [APP/views/dishes/admin_new.ctp, line 5]
2009-10-03 00:48:03 Notice: Notice (8): Undefined index: name in [APP/views/dishes/admin_new.ctp, line 6]
2009-10-03 00:48:03 Notice: Notice (8): Undefined index: id in [APP/views/dishes/admin_new.ctp, line 7]
2009-10-03 00:48:03 Notice: Notice (8): Undefined index: dgroups_id in [APP/views/dishes/admin_new.ctp, line 8]
2009-10-03 00:48:03 Notice: Notice (8): Undefined index: description in [APP/views/dishes/admin_new.ctp, line 9]
2009-10-03 00:49:51 Notice: Notice (8): Undefined index: id in [APP/views/dishes/admin_new.ctp, line 5]
2009-10-03 00:49:51 Notice: Notice (8): Undefined index: name in [APP/views/dishes/admin_new.ctp, line 6]
2009-10-03 00:49:51 Notice: Notice (8): Undefined index: id in [APP/views/dishes/admin_new.ctp, line 7]
2009-10-03 00:49:51 Notice: Notice (8): Undefined index: description in [APP/views/dishes/admin_new.ctp, line 9]
2009-10-03 00:50:31 Notice: Notice (8): Undefined index: id in [APP/views/dishes/admin_new.ctp, line 5]
2009-10-03 00:50:31 Notice: Notice (8): Undefined index: name in [APP/views/dishes/admin_new.ctp, line 6]
2009-10-03 00:50:31 Notice: Notice (8): Undefined index: id in [APP/views/dishes/admin_new.ctp, line 7]
